entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
"Blank, Roger",Roger Blank,Person,https://www.wikidata.org/entity/Q18630255,n80147116,94fd701b-fb1c-4ca9-8271-fab0ef975092,,Q18630255,
"Alexander, Roland",Roland Alexander,Person,https://www.wikidata.org/entity/Q2162653,n92010179,3d0147c3-19f1-4ca5-a559-f0cfd5f23521,w6qk069q,Q2162653,
"Boykins, Ronnie",Ronnie Boykins,Person,https://www.wikidata.org/entity/Q1756516,n78052997,245a481f-228d-4a5f-939c-b839144f4f7f,,Q1756516,
Sista's Place,Sista's Place,Venue,https://www.wikidata.org/entity/Q65548899,,,,Q65548899,
Sun Ra Arkestra,Sun Ra Arkestra,Music Group,https://www.wikidata.org/entity/Q65548769,n95062594,d9733f21-71d7-4fa7-813d-67eca0f0eaaf,w6jf14kx,Q65548769,
"Allen, Eddie",Eddie Allen,Person,https://www.wikidata.org/entity/Q538079,nr96007265,cf32310c-bf3d-408a-b445-3287ab15af60,w66m60dj,Q538079,
Bicksford Luncheonette,Bicksford Luncheonette,Venue,https://www.wikidata.org/entity/Q65548900,,,,Q65548900,
"Blakely, Art",Art Blakey,Person,https://www.wikidata.org/entity/Q311715,,601e7466-eaf5-4a91-9909-ffd770b7e04a,w69f3b28,Q311715,Yes
Blue Note,Blue Note Records,Organization,https://www.wikidata.org/entity/Q885833,n95016751,d3865f1e-ae0c-4a97-99b9-016966d49cb5,w6cm3xhg,Q885833,
Bradley's ,Bradley's,Venue,https://www.wikidata.org/entity/Q897062,,58180b01-715d-43c2-8a95-9d420ffcada0,,Q897062,
"Continental, The",The Continental,Venue,https://www.wikidata.org/entity/Q65548901,,,,Q65548901,
"Gillespie, Dizzy",Dizzy Gillespie,Person,https://www.wikidata.org/entity/Q49575,n50033872,e9ba8ccb-505f-4e5c-b909-65998d0d35b5,w6jw8cjh,Q49575,Yes
"Glasper, Robert",Robert Glasper,Person,https://www.wikidata.org/entity/Q1370642,n2005001883,6e8f82ea-9e6d-4fdd-9b32-32feef13186b,,Q1370642,
"Gryce, Gigi",Gigi Gryce,Person,https://www.wikidata.org/entity/Q563275,n79115717,c0b57e55-c165-44c0-b2d7-f957fe27c77e,w6w4006z,Q563275,Yes
"Herring, Vincent",Vincent Herring,Person,https://www.wikidata.org/entity/Q2526615,n92075292,67b97580-f939-470e-bfa1-c3049f69c342,,Q2526615,Yes
"Markowitz, Marty",Marty Markowitz,Person,https://www.wikidata.org/entity/Q4282089,,,,Q4282089,
"Monk, Thelonious",Thelonious Monk,Person,https://www.wikidata.org/entity/Q109612,n82218969,8e8c7417-c905-46b1-b42a-5260b4274ed4,w6j38zvn,Q109612,
"Payne, Ennis",Ennis Payne,Person,https://www.wikidata.org/entity/Q65554916,,,,Q65554916,
"Taylor, Creed",Creed Taylor,Person,https://www.wikidata.org/entity/Q1139476,no98027837,82c19813-15ec-4b5f-a06a-d7529f22d78a,,Q1139476,
"Walton, Cedar",Cedar Walton,Person,https://www.wikidata.org/entity/Q246462,n79134305,115474d3-9d44-4c96-b5d0-00891187c6e8,w6g19fc7,Q246462,Yes
Up Over Jazz Café,Up Over Jazz CafÃ©,Venue,https://www.wikidata.org/entity/Q65548902,,,,Q65548902,
"Abrams, Ray",Ray Abrams,Person,https://www.wikidata.org/entity/Q1254518,no93022640,82efc810-f097-4f9f-93ff-7d3555834d07,,Q1254518,
Andy Kirk Jazz Research Foundation,Andy Kirk Jazz Research Foundation,Organization,https://www.wikidata.org/entity/Q65548280,,,,Q65548280,
Arlington Inn,Arlington Inn,Venue,https://www.wikidata.org/entity/Q65548903,,,,Q65548903,
"Blake, Eubie",Eubie Blake,Person,https://www.wikidata.org/entity/Q919632,n80158665,bdbed61b-6a7e-41b2-b9ba-2c42c65128a9,w6251jr1,Q919632,Yes
"Braithwaite, Sr., Freddy","Freddy Braithwaite, Sr.",Person,https://www.wikidata.org/entity/Q65554917,,,,Q65554917,
"Gittins, Jimmy",Jimmy Gittins,Person,https://www.wikidata.org/entity/Q65554918,,,,Q65554918,
"Jones, Vincent",Vincent Jones,Person,https://www.wikidata.org/entity/Q65554919,,,,Q65554919,
